tipoTabla;dataSet;sizeTabla;tipoClave;numElementos;tiempo
closed_hash_linear;twitter_data;24821;username;12500;0.0036131
closed_hash_double;twitter_data;24821;username;12500;0.0040488
closed_hash_quadratic;twitter_data;24821;username;12500;0.0034885
open_hash;twitter_data;24821;username;12500;0.0025109
STL_map;twitter_data;24821;username;12500;0.0015433
closed_hash_linear;twitter_data;24821;username;15000;0.0048229
closed_hash_double;twitter_data;24821;username;15000;0.0051856
closed_hash_quadratic;twitter_data;24821;username;15000;0.0044893
open_hash;twitter_data;24821;username;15000;0.0030404
STL_map;twitter_data;24821;username;15000;0.0018959
closed_hash_linear;twitter_data;24821;username;17500;0.0066634
closed_hash_double;twitter_data;24821;username;17500;0.0066047
closed_hash_quadratic;twitter_data;24821;username;17500;0.0057827
open_hash;twitter_data;24821;username;17500;0.0033415
STL_map;twitter_data;24821;username;17500;0.0021498
closed_hash_linear;twitter_data;24821;username;20000;0.0101632
closed_hash_double;twitter_data;24821;username;20000;0.0086032
closed_hash_quadratic;twitter_data;24821;username;20000;0.007669
open_hash;twitter_data;24821;username;20000;0.0039495
STL_map;twitter_data;24821;username;20000;0.0024637
closed_hash_linear;twitter_data;24821;username;2500;0.0005777
closed_hash_double;twitter_data;24821;username;2500;0.0007222
closed_hash_quadratic;twitter_data;24821;username;2500;0.0005758
open_hash;twitter_data;24821;username;2500;0.0005175
STL_map;twitter_data;24821;username;2500;0.0003298
closed_hash_linear;twitter_data;24821;username;5000;0.0012028
closed_hash_double;twitter_data;24821;username;5000;0.001456
closed_hash_quadratic;twitter_data;24821;username;5000;0.0012023
open_hash;twitter_data;24821;username;5000;0.0010863
STL_map;twitter_data;24821;username;5000;0.0008924
closed_hash_linear;twitter_data;24821;username;7500;0.0018889
closed_hash_double;twitter_data;24821;username;7500;0.0022143
closed_hash_quadratic;twitter_data;24821;username;7500;0.0018678
open_hash;twitter_data;24821;username;7500;0.0017271
STL_map;twitter_data;24821;username;7500;0.0009363
closed_hash_linear;twitter_data;24821;username;10000;0.0026888
closed_hash_double;twitter_data;24821;username;10000;0.004632
closed_hash_quadratic;twitter_data;24821;username;10000;0.0040072
open_hash;twitter_data;24821;username;10000;0.0024739
STL_map;twitter_data;24821;username;10000;0.0012951
closed_hash_linear;twitter_data;24821;username;12500;0.0036604
closed_hash_double;twitter_data;24821;username;12500;0.0040452
closed_hash_quadratic;twitter_data;24821;username;12500;0.0034894
open_hash;twitter_data;24821;username;12500;0.0026016
STL_map;twitter_data;24821;username;12500;0.0015713
closed_hash_linear;twitter_data;24821;username;15000;0.0048722
closed_hash_double;twitter_data;24821;username;15000;0.0060138
closed_hash_quadratic;twitter_data;24821;username;15000;0.0046266
open_hash;twitter_data;24821;username;15000;0.0030711
STL_map;twitter_data;24821;username;15000;0.001944
closed_hash_linear;twitter_data;24821;username;17500;0.0066711
closed_hash_double;twitter_data;24821;username;17500;0.0067346
closed_hash_quadratic;twitter_data;24821;username;17500;0.0060463
open_hash;twitter_data;24821;username;17500;0.0061294
STL_map;twitter_data;24821;username;17500;0.0022314
closed_hash_linear;twitter_data;24821;username;20000;0.0097638
closed_hash_double;twitter_data;24821;username;20000;0.0085769
closed_hash_quadratic;twitter_data;24821;username;20000;0.0081748
open_hash;twitter_data;24821;username;20000;0.0042102
STL_map;twitter_data;24821;username;20000;0.002417
closed_hash_linear;twitter_data;24821;username;2500;0.0006285
closed_hash_double;twitter_data;24821;username;2500;0.0006951
closed_hash_quadratic;twitter_data;24821;username;2500;0.0005838
open_hash;twitter_data;24821;username;2500;0.0005394
STL_map;twitter_data;24821;username;2500;0.0003227
closed_hash_linear;twitter_data;24821;username;5000;0.0012342
closed_hash_double;twitter_data;24821;username;5000;0.0014057
closed_hash_quadratic;twitter_data;24821;username;5000;0.0012079
open_hash;twitter_data;24821;username;5000;0.0010201
STL_map;twitter_data;24821;username;5000;0.0006288
closed_hash_linear;twitter_data;24821;username;7500;0.00189
closed_hash_double;twitter_data;24821;username;7500;0.0021735
closed_hash_quadratic;twitter_data;24821;username;7500;0.0018639
open_hash;twitter_data;24821;username;7500;0.0015368
STL_map;twitter_data;24821;username;7500;0.0009578
closed_hash_linear;twitter_data;24821;username;10000;0.0026865
closed_hash_double;twitter_data;24821;username;10000;0.0030784
closed_hash_quadratic;twitter_data;24821;username;10000;0.0026472
open_hash;twitter_data;24821;username;10000;0.0020205
STL_map;twitter_data;24821;username;10000;0.0013106
closed_hash_linear;twitter_data;24821;username;12500;0.0036369
closed_hash_double;twitter_data;24821;username;12500;0.0040109
closed_hash_quadratic;twitter_data;24821;username;12500;0.0035442
open_hash;twitter_data;24821;username;12500;0.0025275
STL_map;twitter_data;24821;username;12500;0.0015484
closed_hash_linear;twitter_data;24821;username;15000;0.004817
closed_hash_double;twitter_data;24821;username;15000;0.0052231
closed_hash_quadratic;twitter_data;24821;username;15000;0.004553
open_hash;twitter_data;24821;username;15000;0.0029028
STL_map;twitter_data;24821;username;15000;0.0020198
closed_hash_linear;twitter_data;24821;username;17500;0.0066606
closed_hash_double;twitter_data;24821;username;17500;0.0066955
closed_hash_quadratic;twitter_data;24821;username;17500;0.005929
open_hash;twitter_data;24821;username;17500;0.0039069
STL_map;twitter_data;24821;username;17500;0.0021251
closed_hash_linear;twitter_data;24821;username;20000;0.0100968
closed_hash_double;twitter_data;24821;username;20000;0.0084919
closed_hash_quadratic;twitter_data;24821;username;20000;0.0077373
open_hash;twitter_data;24821;username;20000;0.0038498
STL_map;twitter_data;24821;username;20000;0.0023946
closed_hash_linear;twitter_data;24821;username;2500;0.0005935
closed_hash_double;twitter_data;24821;username;2500;0.0006784
closed_hash_quadratic;twitter_data;24821;username;2500;0.0005898
open_hash;twitter_data;24821;username;2500;0.0005074
STL_map;twitter_data;24821;username;2500;0.0003197
closed_hash_linear;twitter_data;24821;username;5000;0.0011986
closed_hash_double;twitter_data;24821;username;5000;0.0014275
closed_hash_quadratic;twitter_data;24821;username;5000;0.0013495
