tipoTabla;sizeTabla;tipoClave;numElementos;tiempo
open_hash;24821;username;5000;0.0018354
STL_map;24821;username;5000;0.0015307
closed_hash_linear;24821;username;7500;0.002406
closed_hash_double;24821;username;7500;0.0026671
closed_hash_quadratic;24821;username;7500;0.0024474
open_hash;24821;username;7500;0.0028659
STL_map;24821;username;7500;0.0023756
closed_hash_linear;24821;username;10000;0.0035412
closed_hash_double;24821;username;10000;0.0038133
closed_hash_quadratic;24821;username;10000;0.0035523
open_hash;24821;username;10000;0.0040519
STL_map;24821;username;10000;0.0033122
closed_hash_linear;24821;username;12500;0.0047226
closed_hash_double;24821;username;12500;0.0051527
closed_hash_quadratic;24821;username;12500;0.0046532
open_hash;24821;username;12500;0.0052011
STL_map;24821;username;12500;0.0041746
closed_hash_linear;24821;username;15000;0.0062534
closed_hash_double;24821;username;15000;0.0066363
closed_hash_quadratic;24821;username;15000;0.0060395
open_hash;24821;username;15000;0.0060521
STL_map;24821;username;15000;0.0050459
closed_hash_linear;24821;username;17500;0.0083994
closed_hash_double;24821;username;17500;0.0082559
closed_hash_quadratic;24821;username;17500;0.0075803
open_hash;24821;username;17500;0.0070866
STL_map;24821;username;17500;0.0059224
closed_hash_linear;24821;username;20000;0.0123131
closed_hash_double;24821;username;20000;0.0106438
closed_hash_quadratic;24821;username;20000;0.0096598
open_hash;24821;username;20000;0.0082442
STL_map;24821;username;20000;0.0067656
closed_hash_linear;24821;username;2500;0.0008188
closed_hash_double;24821;username;2500;0.000861
closed_hash_quadratic;24821;username;2500;0.0007995
open_hash;24821;username;2500;0.0009429
STL_map;24821;username;2500;0.0007973
closed_hash_linear;24821;username;5000;0.0015824
closed_hash_double;24821;username;5000;0.0017907
closed_hash_quadratic;24821;username;5000;0.0015956
open_hash;24821;username;5000;0.0018605
STL_map;24821;username;5000;0.0015139
closed_hash_linear;24821;username;7500;0.0024616
closed_hash_double;24821;username;7500;0.002709
closed_hash_quadratic;24821;username;7500;0.0024984
open_hash;24821;username;7500;0.0028536
STL_map;24821;username;7500;0.0024087
closed_hash_linear;24821;username;10000;0.0034817
closed_hash_double;24821;username;10000;0.003895
closed_hash_quadratic;24821;username;10000;0.003551
open_hash;24821;username;10000;0.0041146
STL_map;24821;username;10000;0.0033158
closed_hash_linear;24821;username;12500;0.0047187
closed_hash_double;24821;username;12500;0.0053054
closed_hash_quadratic;24821;username;12500;0.0048244
open_hash;24821;username;12500;0.0050202
STL_map;24821;username;12500;0.0042529
closed_hash_linear;24821;username;15000;0.0064
closed_hash_double;24821;username;15000;0.0064707
closed_hash_quadratic;24821;username;15000;0.0059869
open_hash;24821;username;15000;0.0063574
STL_map;24821;username;15000;0.0050755
closed_hash_linear;24821;username;17500;0.0084342
closed_hash_double;24821;username;17500;0.008405
closed_hash_quadratic;24821;username;17500;0.0074711
open_hash;24821;username;17500;0.0071225
STL_map;24821;username;17500;0.0060685
closed_hash_linear;24821;username;20000;0.0120448
closed_hash_double;24821;username;20000;0.0109263
closed_hash_quadratic;24821;username;20000;0.009677
open_hash;24821;username;20000;0.0081477
STL_map;24821;username;20000;0.0068103
closed_hash_linear;24821;username;2500;0.0007809
closed_hash_double;24821;username;2500;0.0008648
closed_hash_quadratic;24821;username;2500;0.0008106
open_hash;24821;username;2500;0.0010341
STL_map;24821;username;2500;0.0007775
closed_hash_linear;24821;username;5000;0.0017214
closed_hash_double;24821;username;5000;0.001772
closed_hash_quadratic;24821;username;5000;0.0016195
open_hash;24821;username;5000;0.0018514
STL_map;24821;username;5000;0.0015249
closed_hash_linear;24821;username;7500;0.0024383
closed_hash_double;24821;username;7500;0.0027236
closed_hash_quadratic;24821;username;7500;0.0024948
open_hash;24821;username;7500;0.0028645
STL_map;24821;username;7500;0.0023419
closed_hash_linear;24821;username;10000;0.0035316
closed_hash_double;24821;username;10000;0.0039526
closed_hash_quadratic;24821;username;10000;0.0038465
open_hash;24821;username;10000;0.0040919
STL_map;24821;username;10000;0.0032662
closed_hash_linear;24821;username;12500;0.004766
closed_hash_double;24821;username;12500;0.0053797
closed_hash_quadratic;24821;username;12500;0.0047224
open_hash;24821;username;12500;0.0051069
STL_map;24821;username;12500;0.0042306
closed_hash_linear;24821;username;15000;0.0062249
closed_hash_double;24821;username;15000;0.0065552
closed_hash_quadratic;24821;username;15000;0.0060747
open_hash;24821;username;15000;0.0060325
STL_map;24821;username;15000;0.0050565
closed_hash_linear;24821;username;17500;0.008393
closed_hash_double;24821;username;17500;0.008387
closed_hash_quadratic;24821;username;17500;0.0075178
open_hash;24821;username;17500;0.0072441
STL_map;24821;username;17500;0.0066327
closed_hash_linear;24821;username;20000;0.012667
closed_hash_double;24821;username;20000;0.010455
closed_hash_quadratic;24821;username;20000;0.0097246
open_hash;24821;username;20000;0.0080995
STL_map;24821;username;20000;0.0066954
closed_hash_linear;24821;username;2500;0.0007794
closed_hash_double;24821;username;2500;0.0008552
closed_hash_quadratic;24821;username;2500;0.0008217
open_hash;24821;username;2500;0.0012081
STL_map;24821;username;2500;0.0007832
closed_hash_linear;24821;username;5000;0.0015944
closed_hash_double;24821;username;5000;0.0019701
closed_hash_quadratic;24821;username;5000;0.001651
open_hash;24821;username;5000;0.0018178
STL_map;24821;username;5000;0.0015358
closed_hash_linear;24821;username;7500;0.0024288
closed_hash_double;24821;username;7500;0.0026718
closed_hash_quadratic;24821;username;7500;0.0024272
open_hash;24821;username;7500;0.0028827
STL_map;24821;username;7500;0.0023598
closed_hash_linear;24821;username;10000;0.0034904
closed_hash_double;24821;username;10000;0.0039107
closed_hash_quadratic;24821;username;10000;0.0035404
open_hash;24821;username;10000;0.0040263
STL_map;24821;username;10000;0.0033098
closed_hash_linear;24821;username;12500;0.0047569
closed_hash_double;24821;username;12500;0.0050645
closed_hash_quadratic;24821;username;12500;0.0046707
open_hash;24821;username;12500;0.0050825
STL_map;24821;username;12500;0.0041883
closed_hash_linear;24821;username;15000;0.0062121
closed_hash_double;24821;username;15000;0.0066724
closed_hash_quadratic;24821;username;15000;0.0059242
open_hash;24821;username;15000;0.0060801
STL_map;24821;username;15000;0.0050496
closed_hash_linear;24821;username;17500;0.0083164
closed_hash_double;24821;username;17500;0.009226
closed_hash_quadratic;24821;username;17500;0.0083602
open_hash;24821;username;17500;0.0071652
STL_map;24821;username;17500;0.0059455
closed_hash_linear;24821;username;20000;0.0120482
closed_hash_double;24821;username;20000;0.0105874
closed_hash_quadratic;24821;username;20000;0.0096318
open_hash;24821;username;20000;0.0082483
STL_map;24821;username;20000;0.0067207
closed_hash_linear;24821;username;2500;0.0007786
closed_hash_double;24821;username;2500;0.000885
closed_hash_quadratic;24821;username;2500;0.0008316
open_hash;24821;username;2500;0.0009419
STL_map;24821;username;2500;0.0007935
closed_hash_linear;24821;username;5000;0.0016127
closed_hash_double;24821;username;5000;0.0017894
closed_hash_quadratic;24821;username;5000;0.0016051
open_hash;24821;username;5000;0.001849
STL_map;24821;username;5000;0.0015324
closed_hash_linear;24821;username;7500;0.0024833
closed_hash_double;24821;username;7500;0.0027035
closed_hash_quadratic;24821;username;7500;0.0024844
open_hash;24821;username;7500;0.0028734
STL_map;24821;username;7500;0.002358
closed_hash_linear;24821;username;10000;0.0035253
closed_hash_double;24821;username;10000;0.0038371
closed_hash_quadratic;24821;username;10000;0.0036077
open_hash;24821;username;10000;0.0039979
STL_map;24821;username;10000;0.0033258
closed_hash_linear;24821;username;12500;0.0047133
closed_hash_double;24821;username;12500;0.0051528
closed_hash_quadratic;24821;username;12500;0.0047116
open_hash;24821;username;12500;0.0050743
STL_map;24821;username;12500;0.004202
closed_hash_linear;24821;username;15000;0.0062744
closed_hash_double;24821;username;15000;0.0064465
closed_hash_quadratic;24821;username;15000;0.0059911
open_hash;24821;username;15000;0.0061163
STL_map;24821;username;15000;0.0050382
closed_hash_linear;24821;username;17500;0.0083065
closed_hash_double;24821;username;17500;0.0081784
closed_hash_quadratic;24821;username;17500;0.0076174
open_hash;24821;username;17500;0.0071731
STL_map;24821;username;17500;0.0058694
closed_hash_linear;24821;username;20000;0.0120271
closed_hash_double;24821;username;20000;0.0107076
closed_hash_quadratic;24821;username;20000;0.0096724
open_hash;24821;username;20000;0.0081948
STL_map;24821;username;20000;0.0067599
closed_hash_linear;24821;username;2500;0.0007706
closed_hash_double;24821;username;2500;0.0008627
closed_hash_quadratic;24821;username;2500;0.0008019
open_hash;24821;username;2500;0.0009385
STL_map;24821;username;2500;0.000809
closed_hash_linear;24821;username;5000;0.0015869
closed_hash_double;24821;username;5000;0.0017823
closed_hash_quadratic;24821;username;5000;0.0016259
open_hash;24821;username;5000;0.0018385
STL_map;24821;username;5000;0.0015213
closed_hash_linear;24821;username;7500;0.0024444
closed_hash_double;24821;username;7500;0.0027703
closed_hash_quadratic;24821;username;7500;0.0026497
open_hash;24821;username;7500;0.0029034
STL_map;24821;username;7500;0.0023128
closed_hash_linear;24821;username;10000;0.0034878
closed_hash_double;24821;username;10000;0.0038555
closed_hash_quadratic;24821;username;10000;0.0035689
open_hash;24821;username;10000;0.004029
STL_map;24821;username;10000;0.0032322
closed_hash_linear;24821;username;12500;0.0047242
closed_hash_double;24821;username;12500;0.0051417
closed_hash_quadratic;24821;username;12500;0.0050126
open_hash;24821;username;12500;0.0069629
STL_map;24821;username;12500;0.0041643
closed_hash_linear;24821;username;15000;0.006745
closed_hash_double;24821;username;15000;0.0065301
closed_hash_quadratic;24821;username;15000;0.0059941
open_hash;24821;username;15000;0.0063771
STL_map;24821;username;15000;0.0049633
closed_hash_linear;24821;username;17500;0.0082764
closed_hash_double;24821;username;17500;0.0082732
closed_hash_quadratic;24821;username;17500;0.0078899
open_hash;24821;username;17500;0.007163
STL_map;24821;username;17500;0.0059118
closed_hash_linear;24821;username;20000;0.0120587
closed_hash_double;24821;username;20000;0.0105837
closed_hash_quadratic;24821;username;20000;0.0097327
open_hash;24821;username;20000;0.0081266
STL_map;24821;username;20000;0.0067635
closed_hash_linear;24821;username;2500;0.0007803
closed_hash_double;24821;username;2500;0.0008851
closed_hash_quadratic;24821;username;2500;0.0008125
open_hash;24821;username;2500;0.0009416
STL_map;24821;username;2500;0.0007944
closed_hash_linear;24821;username;5000;0.001865
closed_hash_double;24821;username;5000;0.0017558
closed_hash_quadratic;24821;username;5000;0.002752
open_hash;24821;username;5000;0.001844
