tipoTabla;tipoDatos;sizeTabla;tipoClave;numBusquedas;tiempo
closed_hash_linear;twitter_data;24821;user_id;5000;0.0008235
closed_hash_linear;dummy_data;24821;user_id;5000;0.0094583
closed_hash_linear;twitter_data;24821;username;10000;0.0041154
closed_hash_linear;dummy_data;24821;username;10000;0.0812331
closed_hash_linear;twitter_data;24821;user_id;10000;0.0018387
closed_hash_linear;dummy_data;24821;user_id;10000;0.0184394
closed_hash_linear;twitter_data;24821;username;15000;0.0074534
closed_hash_linear;dummy_data;24821;username;15000;0.12768
closed_hash_linear;twitter_data;24821;user_id;15000;0.0030966
closed_hash_linear;dummy_data;24821;user_id;15000;0.028013
closed_hash_linear;twitter_data;24821;username;20000;0.0157426
closed_hash_linear;dummy_data;24821;username;20000;0.168283
closed_hash_linear;twitter_data;24821;user_id;20000;0.0057686
closed_hash_linear;dummy_data;24821;user_id;20000;0.0363427
closed_hash_linear;twitter_data;24821;username;1000;0.0003333
closed_hash_linear;dummy_data;24821;username;1000;0.008546
closed_hash_linear;twitter_data;24821;user_id;1000;0.0001763
closed_hash_linear;dummy_data;24821;user_id;1000;0.0017874
closed_hash_linear;twitter_data;24821;username;5000;0.0017624
closed_hash_linear;dummy_data;24821;username;5000;0.0416693
closed_hash_linear;twitter_data;24821;user_id;5000;0.0008208
closed_hash_linear;dummy_data;24821;user_id;5000;0.0090266
closed_hash_linear;twitter_data;24821;username;10000;0.0040088
closed_hash_linear;dummy_data;24821;username;10000;0.086641
closed_hash_linear;twitter_data;24821;user_id;10000;0.0018014
closed_hash_linear;dummy_data;24821;user_id;10000;0.0181612
closed_hash_linear;twitter_data;24821;username;15000;0.0074079
closed_hash_linear;dummy_data;24821;username;15000;0.130419
closed_hash_linear;twitter_data;24821;user_id;15000;0.0031123
closed_hash_linear;dummy_data;24821;user_id;15000;0.0299966
closed_hash_linear;twitter_data;24821;username;20000;0.0156453
closed_hash_linear;dummy_data;24821;username;20000;0.166341
closed_hash_linear;twitter_data;24821;user_id;20000;0.0058173
closed_hash_linear;dummy_data;24821;user_id;20000;0.0353288
closed_hash_linear;twitter_data;24821;username;1000;0.0003614
closed_hash_linear;dummy_data;24821;username;1000;0.0090897
closed_hash_linear;twitter_data;24821;user_id;1000;0.0001533
closed_hash_linear;dummy_data;24821;user_id;1000;0.0017802
closed_hash_linear;twitter_data;24821;username;5000;0.0017482
closed_hash_linear;dummy_data;24821;username;5000;0.0407779
closed_hash_linear;twitter_data;24821;user_id;5000;0.0008125
closed_hash_linear;dummy_data;24821;user_id;5000;0.0088054
closed_hash_linear;twitter_data;24821;username;10000;0.0040591
closed_hash_linear;dummy_data;24821;username;10000;0.0824676
closed_hash_linear;twitter_data;24821;user_id;10000;0.0018018
closed_hash_linear;dummy_data;24821;user_id;10000;0.0176569
closed_hash_linear;twitter_data;24821;username;15000;0.007404
closed_hash_linear;dummy_data;24821;username;15000;0.123996
closed_hash_linear;twitter_data;24821;user_id;15000;0.0031199
closed_hash_linear;dummy_data;24821;user_id;15000;0.0271274
closed_hash_linear;twitter_data;24821;username;20000;0.0157285
closed_hash_linear;dummy_data;24821;username;20000;0.16655
closed_hash_linear;twitter_data;24821;user_id;20000;0.0059253
closed_hash_linear;dummy_data;24821;user_id;20000;0.0364236
closed_hash_linear;twitter_data;24821;username;1000;0.000325
closed_hash_linear;dummy_data;24821;username;1000;0.0086351
closed_hash_linear;twitter_data;24821;user_id;1000;0.000151
closed_hash_linear;dummy_data;24821;user_id;1000;0.0017389
closed_hash_linear;twitter_data;24821;username;5000;0.0018345
closed_hash_linear;dummy_data;24821;username;5000;0.0416097
closed_hash_linear;twitter_data;24821;user_id;5000;0.0008103
closed_hash_linear;dummy_data;24821;user_id;5000;0.00924
closed_hash_linear;twitter_data;24821;username;10000;0.0039774
closed_hash_linear;dummy_data;24821;username;10000;0.0849824
closed_hash_linear;twitter_data;24821;user_id;10000;0.0017694
closed_hash_linear;dummy_data;24821;user_id;10000;0.0178844
closed_hash_linear;twitter_data;24821;username;15000;0.00741
closed_hash_linear;dummy_data;24821;username;15000;0.127954
closed_hash_linear;twitter_data;24821;user_id;15000;0.0030727
closed_hash_linear;dummy_data;24821;user_id;15000;0.0273571
closed_hash_linear;twitter_data;24821;username;20000;0.0159367
closed_hash_linear;dummy_data;24821;username;20000;0.168604
closed_hash_linear;twitter_data;24821;user_id;20000;0.0057815
closed_hash_linear;dummy_data;24821;user_id;20000;0.0354633
closed_hash_linear;twitter_data;24821;username;1000;0.0003236
closed_hash_linear;dummy_data;24821;username;1000;0.0073996
closed_hash_linear;twitter_data;24821;user_id;1000;0.0001605
closed_hash_linear;dummy_data;24821;user_id;1000;0.0017864
closed_hash_linear;twitter_data;24821;username;5000;0.0017565
closed_hash_linear;dummy_data;24821;username;5000;0.0415561
closed_hash_linear;twitter_data;24821;user_id;5000;0.0008037
closed_hash_linear;dummy_data;24821;user_id;5000;0.009619
