tipoTabla;dataSet;sizeTabla;tipoClave;numElementos;tiempo
closed_hash_linear;dummy_data;24821;username;12500;0.0640444
closed_hash_double;dummy_data;24821;username;12500;0.0253901
closed_hash_quadratic;dummy_data;24821;username;12500;0.0219196
open_hash;dummy_data;24821;username;12500;0.0031747
STL_map;dummy_data;24821;username;12500;0.0012469
closed_hash_linear;dummy_data;24821;username;15000;0.0813623
closed_hash_double;dummy_data;24821;username;15000;0.029843
closed_hash_quadratic;dummy_data;24821;username;15000;0.0259108
open_hash;dummy_data;24821;username;15000;0.003407
STL_map;dummy_data;24821;username;15000;0.0014919
closed_hash_linear;dummy_data;24821;username;17500;0.0947391
closed_hash_double;dummy_data;24821;username;17500;0.0339619
closed_hash_quadratic;dummy_data;24821;username;17500;0.0295587
open_hash;dummy_data;24821;username;17500;0.0040449
STL_map;dummy_data;24821;username;17500;0.0017652
closed_hash_linear;dummy_data;24821;username;20000;0.102999
closed_hash_double;dummy_data;24821;username;20000;0.0394088
closed_hash_quadratic;dummy_data;24821;username;20000;0.0344941
open_hash;dummy_data;24821;username;20000;0.0046641
STL_map;dummy_data;24821;username;20000;0.0020491
closed_hash_linear;dummy_data;24821;username;2500;0.0132207
closed_hash_double;dummy_data;24821;username;2500;0.0049349
closed_hash_quadratic;dummy_data;24821;username;2500;0.0043882
open_hash;dummy_data;24821;username;2500;0.0005868
STL_map;dummy_data;24821;username;2500;0.0002564
closed_hash_linear;dummy_data;24821;username;5000;0.032459
closed_hash_double;dummy_data;24821;username;5000;0.0098641
closed_hash_quadratic;dummy_data;24821;username;5000;0.0084116
open_hash;dummy_data;24821;username;5000;0.0013644
STL_map;dummy_data;24821;username;5000;0.0005298
closed_hash_linear;dummy_data;24821;username;7500;0.0379743
closed_hash_double;dummy_data;24821;username;7500;0.0164164
closed_hash_quadratic;dummy_data;24821;username;7500;0.0126871
open_hash;dummy_data;24821;username;7500;0.00173
STL_map;dummy_data;24821;username;7500;0.0007496
closed_hash_linear;dummy_data;24821;username;10000;0.0520107
closed_hash_double;dummy_data;24821;username;10000;0.0197827
closed_hash_quadratic;dummy_data;24821;username;10000;0.0169805
open_hash;dummy_data;24821;username;10000;0.0023304
STL_map;dummy_data;24821;username;10000;0.0009931
closed_hash_linear;dummy_data;24821;username;12500;0.0651656
closed_hash_double;dummy_data;24821;username;12500;0.0241921
closed_hash_quadratic;dummy_data;24821;username;12500;0.0213567
open_hash;dummy_data;24821;username;12500;0.0029006
STL_map;dummy_data;24821;username;12500;0.0012363
closed_hash_linear;dummy_data;24821;username;15000;0.0789052
closed_hash_double;dummy_data;24821;username;15000;0.0306003
closed_hash_quadratic;dummy_data;24821;username;15000;0.0264566
open_hash;dummy_data;24821;username;15000;0.0034989
STL_map;dummy_data;24821;username;15000;0.001504
closed_hash_linear;dummy_data;24821;username;17500;0.0872734
closed_hash_double;dummy_data;24821;username;17500;0.0339305
closed_hash_quadratic;dummy_data;24821;username;17500;0.0301668
open_hash;dummy_data;24821;username;17500;0.0039992
STL_map;dummy_data;24821;username;17500;0.0017502
closed_hash_linear;dummy_data;24821;username;20000;0.102217
closed_hash_double;dummy_data;24821;username;20000;0.0396066
closed_hash_quadratic;dummy_data;24821;username;20000;0.0337494
open_hash;dummy_data;24821;username;20000;0.0046563
STL_map;dummy_data;24821;username;20000;0.0019949
closed_hash_linear;dummy_data;24821;username;2500;0.012711
closed_hash_double;dummy_data;24821;username;2500;0.0050973
closed_hash_quadratic;dummy_data;24821;username;2500;0.005287
open_hash;dummy_data;24821;username;2500;0.0006012
STL_map;dummy_data;24821;username;2500;0.0002515
closed_hash_linear;dummy_data;24821;username;5000;0.0244161
closed_hash_double;dummy_data;24821;username;5000;0.0098088
closed_hash_quadratic;dummy_data;24821;username;5000;0.0083077
open_hash;dummy_data;24821;username;5000;0.0011395
STL_map;dummy_data;24821;username;5000;0.0005047
closed_hash_linear;dummy_data;24821;username;7500;0.0391624
closed_hash_double;dummy_data;24821;username;7500;0.0162471
closed_hash_quadratic;dummy_data;24821;username;7500;0.012996
open_hash;dummy_data;24821;username;7500;0.0016839
STL_map;dummy_data;24821;username;7500;0.0007601
closed_hash_linear;dummy_data;24821;username;10000;0.0595205
closed_hash_double;dummy_data;24821;username;10000;0.0196532
closed_hash_quadratic;dummy_data;24821;username;10000;0.0169026
open_hash;dummy_data;24821;username;10000;0.0022527
STL_map;dummy_data;24821;username;10000;0.0016056
closed_hash_linear;dummy_data;24821;username;12500;0.063865
closed_hash_double;dummy_data;24821;username;12500;0.0242734
closed_hash_quadratic;dummy_data;24821;username;12500;0.0210431
open_hash;dummy_data;24821;username;12500;0.0028601
STL_map;dummy_data;24821;username;12500;0.001242
