tipoClave;numElementos;tiempo
username_hash;1000;0.0017944
username_hash;5000;0.0344652
username_hash;10000;0.110602
username_hash;15000;0.26103
username_hash;20000;0.507629
username_hash;1000;0.0018261
username_hash;5000;0.0338093
username_hash;10000;0.113172
username_hash;15000;0.265795
username_hash;20000;0.507215
username_hash;1000;0.0018716
username_hash;5000;0.0330223
username_hash;10000;0.110068
username_hash;15000;0.277781
username_hash;20000;0.529823
username_hash;1000;0.0019963
username_hash;5000;0.0337858
username_hash;10000;0.109899
username_hash;15000;0.264918
username_hash;20000;0.5149
username_hash;1000;0.0018604
username_hash;5000;0.033132
username_hash;10000;0.110377
username_hash;15000;0.262572
username_hash;20000;0.508544
username_hash;1000;0.0018183
username_hash;5000;0.0336638
username_hash;10000;0.109824
username_hash;15000;0.263623
username_hash;20000;0.5093
username_hash;1000;0.0018153
username_hash;5000;0.0333478
username_hash;10000;0.110573
username_hash;15000;0.266446
username_hash;20000;0.509643
username_hash;1000;0.0018056
username_hash;5000;0.0331929
username_hash;10000;0.111084
username_hash;15000;0.263538
username_hash;20000;0.504999
username_hash;1000;0.0018292
username_hash;5000;0.0334077
username_hash;10000;0.110475
username_hash;15000;0.267668
username_hash;20000;0.507965
username_hash;1000;0.0021326
username_hash;5000;0.033362
username_hash;10000;0.111124
username_hash;15000;0.264794
username_hash;20000;0.506929
username_hash;1000;0.0021998
username_hash;5000;0.0361326
username_hash;10000;0.110246
username_hash;15000;0.269212
username_hash;20000;0.504919
username_hash;1000;0.0018187
username_hash;5000;0.0334486
username_hash;10000;0.112204
username_hash;15000;0.264758
username_hash;20000;0.511457
username_hash;1000;0.00181
username_hash;5000;0.0336453
username_hash;10000;0.110076
username_hash;15000;0.265686
username_hash;20000;0.506021
username_hash;1000;0.0018347
username_hash;5000;0.0335121
username_hash;10000;0.110695
username_hash;15000;0.262953
username_hash;20000;0.5077
username_hash;1000;0.0018647
username_hash;5000;0.0339528
username_hash;10000;0.11367
username_hash;15000;0.264748
username_hash;20000;0.509265
username_hash;1000;0.0026109
username_hash;5000;0.0371277
username_hash;10000;0.111489
username_hash;15000;0.263783
username_hash;20000;0.514738
username_hash;1000;0.0018066
username_hash;5000;0.0333631
username_hash;10000;0.11091
username_hash;15000;0.266452
username_hash;20000;0.505213
username_hash;1000;0.0018275
username_hash;5000;0.033277
username_hash;10000;0.110329
username_hash;15000;0.263189
username_hash;20000;0.507274
username_hash;1000;0.0018103
username_hash;5000;0.0333693
username_hash;10000;0.113604
username_hash;15000;0.264273
username_hash;20000;0.512551
username_hash;1000;0.0018084
username_hash;5000;0.0332162
username_hash;10000;0.109761
username_hash;15000;0.261869
username_hash;20000;0.505228
username_hash;1000;0.0018369
username_hash;5000;0.0331846
username_hash;10000;0.11001
username_hash;15000;0.266683
username_hash;20000;0.507662
username_hash;1000;0.0018183
username_hash;5000;0.0331
username_hash;10000;0.110602
username_hash;15000;0.264075
username_hash;20000;0.505305
username_hash;1000;0.0018634
username_hash;5000;0.0331078
username_hash;10000;0.110394
username_hash;15000;0.265741
username_hash;20000;0.525145
username_hash;1000;0.0018274
username_hash;5000;0.0331575
username_hash;10000;0.129401
username_hash;15000;0.261868
username_hash;20000;0.524402
username_hash;1000;0.0018035
username_hash;5000;0.0333108
username_hash;10000;0.110165
username_hash;15000;0.26938
username_hash;20000;0.504529
username_hash;1000;0.0017978
username_hash;5000;0.0334902
username_hash;10000;0.110335
username_hash;15000;0.265364
username_hash;20000;0.498068
username_hash;1000;0.0018195
username_hash;5000;0.0332235
username_hash;10000;0.110333
username_hash;15000;0.264221
username_hash;20000;0.506225
username_hash;1000;0.0018284
username_hash;5000;0.0332128
username_hash;10000;0.112668
username_hash;15000;0.263465
username_hash;20000;0.510795
username_hash;1000;0.0018163
username_hash;5000;0.0333727
username_hash;10000;0.1109
username_hash;15000;0.260772
username_hash;20000;0.509315
username_hash;1000;0.0018104
username_hash;5000;0.0333397
username_hash;10000;0.11006
username_hash;15000;0.278618
username_hash;20000;0.524149
username_hash;1000;0.0018207
username_hash;5000;0.0334227
username_hash;10000;0.11017
