tipoTabla;dataSet;sizeTabla;tipoClave;numElementos;tiempo
open_hash;twitter_data;24821;user_id;7500;0.0009928
STL_map;twitter_data;24821;user_id;7500;0.0008723
closed_hash_linear;twitter_data;24821;user_id;10000;0.0017794
closed_hash_double;twitter_data;24821;user_id;10000;0.0018958
closed_hash_quadratic;twitter_data;24821;user_id;10000;0.0018032
open_hash;twitter_data;24821;user_id;10000;0.001322
STL_map;twitter_data;24821;user_id;10000;0.0011099
closed_hash_linear;twitter_data;24821;user_id;12500;0.0023841
closed_hash_double;twitter_data;24821;user_id;12500;0.0024689
closed_hash_quadratic;twitter_data;24821;user_id;12500;0.0022858
open_hash;twitter_data;24821;user_id;12500;0.0016156
STL_map;twitter_data;24821;user_id;12500;0.0013638
closed_hash_linear;twitter_data;24821;user_id;15000;0.003118
closed_hash_double;twitter_data;24821;user_id;15000;0.0031506
closed_hash_quadratic;twitter_data;24821;user_id;15000;0.0029236
open_hash;twitter_data;24821;user_id;15000;0.0020011
STL_map;twitter_data;24821;user_id;15000;0.0016082
closed_hash_linear;twitter_data;24821;user_id;17500;0.0040925
closed_hash_double;twitter_data;24821;user_id;17500;0.0039729
closed_hash_quadratic;twitter_data;24821;user_id;17500;0.0037064
open_hash;twitter_data;24821;user_id;17500;0.002177
STL_map;twitter_data;24821;user_id;17500;0.001827
closed_hash_linear;twitter_data;24821;user_id;20000;0.0058027
closed_hash_double;twitter_data;24821;user_id;20000;0.005038
closed_hash_quadratic;twitter_data;24821;user_id;20000;0.0046724
open_hash;twitter_data;24821;user_id;20000;0.0025071
STL_map;twitter_data;24821;user_id;20000;0.0020828
closed_hash_linear;twitter_data;24821;user_id;2500;0.0003867
closed_hash_double;twitter_data;24821;user_id;2500;0.0004206
closed_hash_quadratic;twitter_data;24821;user_id;2500;0.0003806
open_hash;twitter_data;24821;user_id;2500;0.0003412
STL_map;twitter_data;24821;user_id;2500;0.0003007
closed_hash_linear;twitter_data;24821;user_id;5000;0.0009504
closed_hash_double;twitter_data;24821;user_id;5000;0.000869
closed_hash_quadratic;twitter_data;24821;user_id;5000;0.0008183
open_hash;twitter_data;24821;user_id;5000;0.0008714
STL_map;twitter_data;24821;user_id;5000;0.0006625
closed_hash_linear;twitter_data;24821;user_id;7500;0.001281
closed_hash_double;twitter_data;24821;user_id;7500;0.0013642
closed_hash_quadratic;twitter_data;24821;user_id;7500;0.001257
open_hash;twitter_data;24821;user_id;7500;0.0011531
STL_map;twitter_data;24821;user_id;7500;0.0008992
closed_hash_linear;twitter_data;24821;user_id;10000;0.0035306
closed_hash_double;twitter_data;24821;user_id;10000;0.0021343
closed_hash_quadratic;twitter_data;24821;user_id;10000;0.0018677
open_hash;twitter_data;24821;user_id;10000;0.0013405
STL_map;twitter_data;24821;user_id;10000;0.0011489
closed_hash_linear;twitter_data;24821;user_id;12500;0.0037752
closed_hash_double;twitter_data;24821;user_id;12500;0.0024886
closed_hash_quadratic;twitter_data;24821;user_id;12500;0.0023221
open_hash;twitter_data;24821;user_id;12500;0.0017747
STL_map;twitter_data;24821;user_id;12500;0.0013821
closed_hash_linear;twitter_data;24821;user_id;15000;0.0030854
closed_hash_double;twitter_data;24821;user_id;15000;0.003143
closed_hash_quadratic;twitter_data;24821;user_id;15000;0.0029965
open_hash;twitter_data;24821;user_id;15000;0.0019146
STL_map;twitter_data;24821;user_id;15000;0.001595
closed_hash_linear;twitter_data;24821;user_id;17500;0.0040655
closed_hash_double;twitter_data;24821;user_id;17500;0.0038365
closed_hash_quadratic;twitter_data;24821;user_id;17500;0.0037615
open_hash;twitter_data;24821;user_id;17500;0.0022511
STL_map;twitter_data;24821;user_id;17500;0.0018203
closed_hash_linear;twitter_data;24821;user_id;20000;0.0058437
closed_hash_double;twitter_data;24821;user_id;20000;0.0049642
closed_hash_quadratic;twitter_data;24821;user_id;20000;0.0047441
open_hash;twitter_data;24821;user_id;20000;0.0030575
STL_map;twitter_data;24821;user_id;20000;0.0022285
closed_hash_linear;twitter_data;24821;user_id;2500;0.0004068
closed_hash_double;twitter_data;24821;user_id;2500;0.0004179
closed_hash_quadratic;twitter_data;24821;user_id;2500;0.0003965
open_hash;twitter_data;24821;user_id;2500;0.0004445
STL_map;twitter_data;24821;user_id;2500;0.0002958
closed_hash_linear;twitter_data;24821;user_id;5000;0.0008077
closed_hash_double;twitter_data;24821;user_id;5000;0.0008853
closed_hash_quadratic;twitter_data;24821;user_id;5000;0.0007861
open_hash;twitter_data;24821;user_id;5000;0.0006819
STL_map;twitter_data;24821;user_id;5000;0.0005887
closed_hash_linear;twitter_data;24821;user_id;7500;0.0012476
closed_hash_double;twitter_data;24821;user_id;7500;0.0013631
closed_hash_quadratic;twitter_data;24821;user_id;7500;0.0012451
open_hash;twitter_data;24821;user_id;7500;0.0010066
STL_map;twitter_data;24821;user_id;7500;0.0008627
closed_hash_linear;twitter_data;24821;user_id;10000;0.0017978
closed_hash_double;twitter_data;24821;user_id;10000;0.0019076
closed_hash_quadratic;twitter_data;24821;user_id;10000;0.001773
open_hash;twitter_data;24821;user_id;10000;0.0013202
STL_map;twitter_data;24821;user_id;10000;0.0011974
closed_hash_linear;twitter_data;24821;user_id;12500;0.0023527
closed_hash_double;twitter_data;24821;user_id;12500;0.002487
closed_hash_quadratic;twitter_data;24821;user_id;12500;0.0022923
open_hash;twitter_data;24821;user_id;12500;0.0016075
STL_map;twitter_data;24821;user_id;12500;0.001478
closed_hash_linear;twitter_data;24821;user_id;15000;0.0030973
closed_hash_double;twitter_data;24821;user_id;15000;0.003185
closed_hash_quadratic;twitter_data;24821;user_id;15000;0.0029791
open_hash;twitter_data;24821;user_id;15000;0.0021013
STL_map;twitter_data;24821;user_id;15000;0.0015972
closed_hash_linear;twitter_data;24821;user_id;17500;0.0040327
closed_hash_double;twitter_data;24821;user_id;17500;0.0038712
closed_hash_quadratic;twitter_data;24821;user_id;17500;0.0038211
open_hash;twitter_data;24821;user_id;17500;0.0022275
STL_map;twitter_data;24821;user_id;17500;0.0018178
closed_hash_linear;twitter_data;24821;user_id;20000;0.0057722
closed_hash_double;twitter_data;24821;user_id;20000;0.00506
closed_hash_quadratic;twitter_data;24821;user_id;20000;0.0047191
open_hash;twitter_data;24821;user_id;20000;0.0025302
STL_map;twitter_data;24821;user_id;20000;0.0021179
closed_hash_linear;twitter_data;24821;user_id;2500;0.0003839
closed_hash_double;twitter_data;24821;user_id;2500;0.0004215
closed_hash_quadratic;twitter_data;24821;user_id;2500;0.0003821
open_hash;twitter_data;24821;user_id;2500;0.0003465
STL_map;twitter_data;24821;user_id;2500;0.0002969
closed_hash_linear;twitter_data;24821;user_id;5000;0.0007964
closed_hash_double;twitter_data;24821;user_id;5000;0.0008895
closed_hash_quadratic;twitter_data;24821;user_id;5000;0.0007971
open_hash;twitter_data;24821;user_id;5000;0.0006934
STL_map;twitter_data;24821;user_id;5000;0.0005797
closed_hash_linear;twitter_data;24821;user_id;7500;0.0012421
closed_hash_double;twitter_data;24821;user_id;7500;0.0013592
closed_hash_quadratic;twitter_data;24821;user_id;7500;0.001275
open_hash;twitter_data;24821;user_id;7500;0.0019111
STL_map;twitter_data;24821;user_id;7500;0.0008609
closed_hash_linear;twitter_data;24821;user_id;10000;0.0017574
closed_hash_double;twitter_data;24821;user_id;10000;0.0019196
closed_hash_quadratic;twitter_data;24821;user_id;10000;0.0017458
open_hash;twitter_data;24821;user_id;10000;0.0013044
STL_map;twitter_data;24821;user_id;10000;0.0012023
closed_hash_linear;twitter_data;24821;user_id;12500;0.0024243
closed_hash_double;twitter_data;24821;user_id;12500;0.0025574
closed_hash_quadratic;twitter_data;24821;user_id;12500;0.002308
open_hash;twitter_data;24821;user_id;12500;0.0016243
STL_map;twitter_data;24821;user_id;12500;0.0013566
closed_hash_linear;twitter_data;24821;user_id;15000;0.0031232
closed_hash_double;twitter_data;24821;user_id;15000;0.0031158
closed_hash_quadratic;twitter_data;24821;user_id;15000;0.0030237
open_hash;twitter_data;24821;user_id;15000;0.001927
STL_map;twitter_data;24821;user_id;15000;0.0020372
closed_hash_linear;twitter_data;24821;user_id;17500;0.0040572
closed_hash_double;twitter_data;24821;user_id;17500;0.0039965
closed_hash_quadratic;twitter_data;24821;user_id;17500;0.0037765
open_hash;twitter_data;24821;user_id;17500;0.002225
STL_map;twitter_data;24821;user_id;17500;0.0019542
closed_hash_linear;twitter_data;24821;user_id;20000;0.0059906
closed_hash_double;twitter_data;24821;user_id;20000;0.0049919
closed_hash_quadratic;twitter_data;24821;user_id;20000;0.0050074
open_hash;twitter_data;24821;user_id;20000;0.0027237
STL_map;twitter_data;24821;user_id;20000;0.0020484
closed_hash_linear;twitter_data;24821;user_id;2500;0.0004248
closed_hash_double;twitter_data;24821;user_id;2500;0.0004613
closed_hash_quadratic;twitter_data;24821;user_id;2500;0.000384
open_hash;twitter_data;24821;user_id;2500;0.0003464
STL_map;twitter_data;24821;user_id;2500;0.0003084
closed_hash_linear;twitter_data;24821;user_id;5000;0.0008136
closed_hash_double;twitter_data;24821;user_id;5000;0.0008713
closed_hash_quadratic;twitter_data;24821;user_id;5000;0.0007934
open_hash;twitter_data;24821;user_id;5000;0.0006975
STL_map;twitter_data;24821;user_id;5000;0.000588
closed_hash_linear;twitter_data;24821;user_id;7500;0.0012932
closed_hash_double;twitter_data;24821;user_id;7500;0.0014201
closed_hash_quadratic;twitter_data;24821;user_id;7500;0.0012437
open_hash;twitter_data;24821;user_id;7500;0.0013835
STL_map;twitter_data;24821;user_id;7500;0.0008562
closed_hash_linear;twitter_data;24821;user_id;10000;0.0017616
closed_hash_double;twitter_data;24821;user_id;10000;0.0018862
closed_hash_quadratic;twitter_data;24821;user_id;10000;0.001741
open_hash;twitter_data;24821;user_id;10000;0.0013123
STL_map;twitter_data;24821;user_id;10000;0.0012099
closed_hash_linear;twitter_data;24821;user_id;12500;0.0023769
closed_hash_double;twitter_data;24821;user_id;12500;0.0024882
closed_hash_quadratic;twitter_data;24821;user_id;12500;0.0022761
open_hash;twitter_data;24821;user_id;12500;0.0016407
STL_map;twitter_data;24821;user_id;12500;0.0014429
closed_hash_linear;twitter_data;24821;user_id;15000;0.0031053
closed_hash_double;twitter_data;24821;user_id;15000;0.0031578
closed_hash_quadratic;twitter_data;24821;user_id;15000;0.0029473
open_hash;twitter_data;24821;user_id;15000;0.0019306
STL_map;twitter_data;24821;user_id;15000;0.0016155
closed_hash_linear;twitter_data;24821;user_id;17500;0.0040721
closed_hash_double;twitter_data;24821;user_id;17500;0.0039036
closed_hash_quadratic;twitter_data;24821;user_id;17500;0.0037031
open_hash;twitter_data;24821;user_id;17500;0.002235
STL_map;twitter_data;24821;user_id;17500;0.0018123
closed_hash_linear;twitter_data;24821;user_id;20000;0.0080561
closed_hash_double;twitter_data;24821;user_id;20000;0.0050814
closed_hash_quadratic;twitter_data;24821;user_id;20000;0.0047323
open_hash;twitter_data;24821;user_id;20000;0.0025584
STL_map;twitter_data;24821;user_id;20000;0.0020435
closed_hash_linear;twitter_data;24821;user_id;2500;0.0003811
closed_hash_double;twitter_data;24821;user_id;2500;0.00042
closed_hash_quadratic;twitter_data;24821;user_id;2500;0.000385
open_hash;twitter_data;24821;user_id;2500;0.0003441
STL_map;twitter_data;24821;user_id;2500;0.0003337
closed_hash_linear;twitter_data;24821;user_id;5000;0.000904
closed_hash_double;twitter_data;24821;user_id;5000;0.0008763
closed_hash_quadratic;twitter_data;24821;user_id;5000;0.0008003
open_hash;twitter_data;24821;user_id;5000;0.0006672
STL_map;twitter_data;24821;user_id;5000;0.0005826
closed_hash_linear;twitter_data;24821;user_id;7500;0.0012666
closed_hash_double;twitter_data;24821;user_id;7500;0.0013578
closed_hash_quadratic;twitter_data;24821;user_id;7500;0.0012545
open_hash;twitter_data;24821;user_id;7500;0.0010699
STL_map;twitter_data;24821;user_id;7500;0.0011304
closed_hash_linear;twitter_data;24821;user_id;10000;0.0018088
closed_hash_double;twitter_data;24821;user_id;10000;0.0018873
closed_hash_quadratic;twitter_data;24821;user_id;10000;0.0017438
open_hash;twitter_data;24821;user_id;10000;0.0013009
STL_map;twitter_data;24821;user_id;10000;0.0011132
closed_hash_linear;twitter_data;24821;user_id;12500;0.0023516
closed_hash_double;twitter_data;24821;user_id;12500;0.0024543
closed_hash_quadratic;twitter_data;24821;user_id;12500;0.0022833
open_hash;twitter_data;24821;user_id;12500;0.0016436
STL_map;twitter_data;24821;user_id;12500;0.0016492
closed_hash_linear;twitter_data;24821;user_id;15000;0.0030845
