tipoClave;numElementos;tiempo
ID_hash;1000;0.0003615
ID_hash;5000;0.0016356
ID_hash;10000;0.0033957
ID_hash;15000;0.005121
ID_hash;20000;0.0068597
ID_hash;1000;0.0003657
ID_hash;5000;0.0017001
ID_hash;10000;0.0034245
ID_hash;15000;0.0049516
ID_hash;20000;0.00692
ID_hash;1000;0.00036
ID_hash;5000;0.0018121
ID_hash;10000;0.0033899
ID_hash;15000;0.0050164
ID_hash;20000;0.0067692
ID_hash;1000;0.0003635
ID_hash;5000;0.0016674
ID_hash;10000;0.0036183
ID_hash;15000;0.0051579
ID_hash;20000;0.0070595
ID_hash;1000;0.0004569
ID_hash;5000;0.0017425
ID_hash;10000;0.0036242
ID_hash;15000;0.0051088
ID_hash;20000;0.006766
ID_hash;1000;0.0004065
ID_hash;5000;0.0017372
ID_hash;10000;0.0035671
ID_hash;15000;0.0049801
ID_hash;20000;0.0068783
ID_hash;1000;0.0003576
ID_hash;5000;0.0017965
ID_hash;10000;0.0032211
ID_hash;15000;0.0073296
ID_hash;20000;0.0073326
ID_hash;1000;0.0003656
ID_hash;5000;0.0017053
ID_hash;10000;0.0034687
ID_hash;15000;0.0050209
ID_hash;20000;0.0068213
ID_hash;1000;0.0004643
ID_hash;5000;0.0017319
ID_hash;10000;0.0033708
ID_hash;15000;0.0050002
ID_hash;20000;0.0068933
ID_hash;1000;0.0003615
ID_hash;5000;0.0017737
ID_hash;10000;0.0032918
ID_hash;15000;0.0049909
ID_hash;20000;0.0066462
ID_hash;1000;0.0003564
ID_hash;5000;0.0017123
ID_hash;10000;0.0032887
ID_hash;15000;0.0049366
ID_hash;20000;0.0068255
ID_hash;1000;0.0003537
ID_hash;5000;0.0017997
ID_hash;10000;0.0032718
ID_hash;15000;0.0047954
ID_hash;20000;0.006647
ID_hash;1000;0.0003578
ID_hash;5000;0.0017474
ID_hash;10000;0.0035565
ID_hash;15000;0.0051784
ID_hash;20000;0.0067777
ID_hash;1000;0.0004074
ID_hash;5000;0.0016196
ID_hash;10000;0.0032372
ID_hash;15000;0.0050923
ID_hash;20000;0.006779
ID_hash;1000;0.0003801
ID_hash;5000;0.001755
ID_hash;10000;0.0032909
